category,name,nat,instagram
Men,A'HERN Kye,AUS,https://www.instagram.com/kyeahern/
Men,ABELLA Léo,FRA,https://www.instagram.com/abella_leo/
Men,ALRAN Max,FRA,https://www.instagram.com/max_alran_5/
Men,ALRAN Till,FRA,https://www.instagram.com/alran_till_mtb/
Men,ATWILL Philip,GBR,https://www.instagram.com/phil_atwill/
Men,BAECHLER Yannick,SUI,https://www.instagram.com/yannickbaechler/
Men,BANDEIRA Gonçalo,POR,https://www.instagram.com/goncaloccb/
Men,BARANEK Rastislav,SVK,https://www.instagram.com/rastobaranek36/
Men,BLENKINSOP Sam,NZL,https://www.instagram.com/samblenkinsop/
Men,BOTTERAM Tristan,NED,https://www.instagram.com/botteramtristan/
Men,BRANDS Fynn,NED,https://www.instagram.com/fynnbrands/
Men,BRANNIGAN George,NZL,https://www.instagram.com/georgebrannigan/
Men,BRAYTON Adam,GBR,https://www.instagram.com/adbrayton/
Men,BREEDEN Joe,GBR,https://www.instagram.com/joe_breeden17/
Men,BROSNAN Troy,AUS,https://www.instagram.com/troybrosnan/
Men,BRUNI Loic,FRA,https://www.instagram.com/loicbruni29/
Men,BURKE Bode,USA,https://www.instagram.com/bode_burke/
Men,CAMARGO GIOVANNINI Gabriel,BRA,https://www.instagram.com/gcgiovannini/
Men,CAPPELLO Davide,ITA,https://www.instagram.com/mr__kappe/
Men,CASTELLANOS LIBERAL Daniel,ESP,https://www.instagram.com/danicastellanosspain/
Men,CHAPELET Simon,FRA,https://www.instagram.com/simonchapelet47/
Men,CONNELLY Jackson,AUS,https://www.instagram.com/jackson_connelly/
Men,COULANGES Benoit,FRA,https://www.instagram.com/benoitcoulanges/
Men,CRAIK Ethan,GBR,https://www.instagram.com/ethancraik/
Men,CRAIK George Ethan,GBR,https://www.instagram.com/ethancraik/
Men,CRUZ Lucas,CAN,https://www.instagram.com/lccruzin/
Men,CRUZ Tegan,CAN,https://www.instagram.com/tegster2005/
Men,DAPRELA Thibaut,FRA,https://www.instagram.com/thibautdaprela/
Men,DAVIS Oliver,AUS,https://www.instagram.com/olliedavis.6/
Men,DICKSON Jacob,IRL,https://www.instagram.com/jacob_dicksondh/
Men,DOOLEY Austin,USA,https://www.instagram.com/austin_dooley_/
Men,DUNNE Ronan,IRL,https://www.instagram.com/ronandunne_dh/
Men,EDMONDSON Jamie,GBR,https://www.instagram.com/jamie_edmondson/
Men,ERLANGSEN Theo,RSA,https://www.instagram.com/theo_erlangsen/
Men,ERVIN Tyler,USA,https://www.instagram.com/tylerervin_/
Men,ESTAQUE Thomas,FRA,https://www.instagram.com/thomasestaque/
Men,FALQUET Mylann,FRA,https://www.instagram.com/mylannfalquet/
Men,FAYOLLE Alexandre,FRA,https://www.instagram.com/alexandre_fayolle88/
Men,FEARON Connor,AUS,https://www.instagram.com/connorahoyhoy/
Men,FREW Jackson,AUS,https://www.instagram.com/jackson_frew/
Men,FRIXTALON Hugo,FRA,https://www.instagram.com/frix.frix/
Men,GAJDOSECH Gonzalo,ARG,https://www.instagram.com/gajdosech_gonza/
Men,GALE Sam,NZL,https://www.instagram.com/samgale.x/
Men,GARCIA AYORA Ignacio,ESP,https://www.instagram.com/naachogaarciaa/
Men,GARCIN Johan,FRA,https://www.instagram.com/johan_garcin/
Men,GOLDSTONE Jackson,CAN,https://www.instagram.com/jacksongoldstone/
Men,GOODWILL Douglas,GBR,https://www.instagram.com/douglasgoodwill26/
Men,GREENLAND Laurie,GBR,https://www.instagram.com/lauriegreenland_/
Men,GRICE Christopher,USA,https://www.instagram.com/christopher_grice/
